epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.515,1.3056,2.7317,1.40159,0.35819,0.31066,0.29784,0.19167,1.24119,1.78989,1.35014,0.00332572,0.00332572,0.00332572
2,200.529,1.31967,1.88512,1.39187,0.40411,0.29654,0.29448,0.18789,1.3746,1.73612,1.41373,0.00659313,0.00659313,0.00659313
3,288.663,1.35303,1.83443,1.42525,0.32309,0.24803,0.23392,0.13993,1.48824,2.13286,1.59254,0.00979454,0.00979454,0.00979454
4,376.513,1.40845,1.84667,1.46403,0.41792,0.31749,0.32573,0.19238,1.43579,1.69829,1.50097,0.009703,0.009703,0.009703
5,469.446,1.38345,1.71549,1.43569,0.39597,0.29959,0.2834,0.17313,1.4719,1.81298,1.5395,0.009604,0.009604,0.009604
6,582.975,1.35174,1.6286,1.4199,0.42693,0.32812,0.30269,0.19146,1.33643,1.66476,1.4378,0.009505,0.009505,0.009505
7,676.506,1.34163,1.59276,1.41327,0.51284,0.34578,0.38747,0.25008,1.34061,1.45733,1.4256,0.009406,0.009406,0.009406
8,811.942,1.30004,1.50087,1.38895,0.43493,0.37032,0.36254,0.23788,1.31384,1.45747,1.40058,0.009307,0.009307,0.009307
9,900.63,1.30995,1.4842,1.39011,0.51091,0.39723,0.42995,0.27804,1.26573,1.3675,1.36969,0.009208,0.009208,0.009208
10,1011.28,1.27603,1.45405,1.37608,0.52278,0.39467,0.43947,0.28958,1.24939,1.29386,1.32895,0.009109,0.009109,0.009109
11,1096.2,1.26713,1.40658,1.36813,0.52065,0.40699,0.43307,0.28782,1.25291,1.31484,1.35246,0.00901,0.00901,0.00901
12,1181.56,1.26625,1.38075,1.36077,0.52346,0.40674,0.42946,0.28808,1.25796,1.30447,1.34874,0.008911,0.008911,0.008911
13,1280.67,1.24774,1.35661,1.35199,0.55291,0.41729,0.46831,0.30497,1.25714,1.26966,1.34009,0.008812,0.008812,0.008812
14,1366.39,1.25403,1.33919,1.35088,0.54725,0.42858,0.47692,0.31872,1.1836,1.21367,1.28557,0.008713,0.008713,0.008713
15,1457.01,1.24002,1.30635,1.34018,0.55759,0.41871,0.47256,0.31985,1.20694,1.18185,1.29291,0.008614,0.008614,0.008614
16,1542.7,1.2376,1.2747,1.332,0.51664,0.43671,0.45961,0.30474,1.24475,1.23539,1.30965,0.008515,0.008515,0.008515
17,1631.09,1.21955,1.26541,1.32654,0.52507,0.42617,0.456,0.31021,1.20344,1.26496,1.29417,0.008416,0.008416,0.008416
18,1986.64,1.23029,1.26138,1.32907,0.52516,0.4568,0.4843,0.32164,1.18811,1.18711,1.28228,0.008317,0.008317,0.008317
19,2084.24,1.20307,1.2255,1.31607,0.58882,0.43375,0.50231,0.34541,1.21164,1.17114,1.29522,0.008218,0.008218,0.008218
20,2173.04,1.20704,1.21347,1.31573,0.56984,0.40849,0.46427,0.32078,1.18326,1.15182,1.273,0.008119,0.008119,0.008119
21,2289.68,1.21359,1.20056,1.31947,0.55733,0.4684,0.50781,0.35272,1.15295,1.09097,1.26161,0.00802,0.00802,0.00802
22,2375.65,1.20997,1.19443,1.31343,0.59765,0.46134,0.52904,0.36267,1.16923,1.0587,1.25586,0.007921,0.007921,0.007921
23,2471.76,1.1837,1.17976,1.30495,0.55214,0.46561,0.51677,0.35139,1.19386,1.10244,1.27348,0.007822,0.007822,0.007822
24,2654.96,1.1837,1.16771,1.3037,0.58242,0.43199,0.50577,0.34993,1.1803,1.08171,1.26308,0.007723,0.007723,0.007723
25,2750.19,1.20051,1.15921,1.30278,0.55638,0.45058,0.49275,0.34134,1.17278,1.0927,1.25929,0.007624,0.007624,0.007624
26,2835.82,1.19348,1.14521,1.29762,0.53273,0.46882,0.49915,0.34014,1.17751,1.08911,1.25845,0.007525,0.007525,0.007525
27,2926.17,1.18859,1.1283,1.29573,0.58217,0.48572,0.53379,0.36736,1.16398,1.04703,1.24506,0.007426,0.007426,0.007426
28,3012.67,1.17612,1.11606,1.28943,0.58787,0.4603,0.51273,0.35261,1.15848,1.08168,1.25695,0.007327,0.007327,0.007327
29,3099.23,1.17016,1.11303,1.29015,0.5973,0.45119,0.51637,0.36076,1.15083,1.04957,1.24821,0.007228,0.007228,0.007228
30,3184.53,1.1624,1.10406,1.28581,0.5934,0.44235,0.49928,0.343,1.16128,1.05613,1.25235,0.007129,0.007129,0.007129
31,3278.22,1.16028,1.1006,1.28119,0.53092,0.45539,0.48864,0.33907,1.14799,1.07645,1.24944,0.00703,0.00703,0.00703
32,3368.34,1.17582,1.09633,1.2882,0.6071,0.46426,0.53723,0.372,1.15192,1.03232,1.24941,0.006931,0.006931,0.006931
33,3458.67,1.17285,1.08562,1.27551,0.60262,0.46848,0.53846,0.37477,1.14854,1.02147,1.23702,0.006832,0.006832,0.006832
34,3547.64,1.15904,1.08676,1.283,0.58155,0.4816,0.53711,0.37445,1.13644,1.0198,1.22453,0.006733,0.006733,0.006733
35,3635.34,1.15605,1.05294,1.27189,0.56662,0.47407,0.51905,0.36103,1.14221,1.02974,1.2416,0.006634,0.006634,0.006634
36,3740.28,1.13865,1.06138,1.26956,0.61773,0.46625,0.54022,0.37937,1.12793,1.00396,1.22876,0.006535,0.006535,0.006535
37,3834.11,1.1425,1.04976,1.27085,0.56944,0.48453,0.51957,0.3648,1.1233,1.02601,1.21834,0.006436,0.006436,0.006436
38,3919.99,1.14015,1.04387,1.26177,0.59255,0.47792,0.54516,0.3818,1.14623,1.01163,1.22759,0.006337,0.006337,0.006337
39,4009.13,1.15331,1.03133,1.26771,0.5851,0.49872,0.53142,0.37176,1.13222,1.00586,1.22008,0.006238,0.006238,0.006238
40,4097.02,1.13602,1.02897,1.26405,0.57701,0.49531,0.54153,0.3823,1.12592,0.98427,1.22101,0.006139,0.006139,0.006139
41,4191.99,1.13777,1.01621,1.25626,0.60985,0.47499,0.54502,0.3814,1.12539,0.98476,1.21954,0.00604,0.00604,0.00604
42,4281.63,1.11609,1.01579,1.25485,0.58204,0.48334,0.54189,0.38416,1.11928,0.98897,1.21791,0.005941,0.005941,0.005941
43,4374.46,1.13487,1.00865,1.25966,0.59759,0.4925,0.54881,0.38762,1.12988,0.98052,1.22114,0.005842,0.005842,0.005842
44,4627.95,1.12075,1.00789,1.25331,0.60058,0.48891,0.54998,0.38866,1.11772,0.97294,1.21097,0.005743,0.005743,0.005743
45,4718,1.1337,0.99764,1.25217,0.61175,0.4933,0.54931,0.38555,1.12439,0.9705,1.21645,0.005644,0.005644,0.005644
46,4812.67,1.12437,0.99617,1.25172,0.5732,0.50085,0.54594,0.38788,1.10779,0.97662,1.20665,0.005545,0.005545,0.005545
47,4898.24,1.11196,0.97502,1.24505,0.61185,0.49995,0.55894,0.39237,1.13342,0.95421,1.215,0.005446,0.005446,0.005446
48,4986.2,1.12509,0.98101,1.25328,0.61527,0.49355,0.56158,0.39316,1.12101,0.94459,1.21124,0.005347,0.005347,0.005347
49,5125.68,1.10487,0.96663,1.23816,0.61858,0.50558,0.56647,0.40082,1.10201,0.93107,1.19925,0.005248,0.005248,0.005248
50,5213.24,1.11303,0.96001,1.23874,0.60852,0.50493,0.55338,0.39147,1.11145,0.94862,1.20597,0.005149,0.005149,0.005149
51,5301.98,1.10837,0.95969,1.23285,0.57957,0.4972,0.54461,0.3857,1.10525,0.96065,1.20361,0.00505,0.00505,0.00505
52,5430.01,1.12262,0.95052,1.23888,0.61305,0.48973,0.54308,0.38999,1.09639,0.94988,1.19609,0.004951,0.004951,0.004951
53,5540.91,1.09541,0.94626,1.23511,0.57913,0.52873,0.54632,0.38985,1.08871,0.95089,1.19063,0.004852,0.004852,0.004852
54,5689.97,1.09451,0.94966,1.23541,0.63171,0.49793,0.56862,0.40531,1.10193,0.91139,1.19749,0.004753,0.004753,0.004753
55,5786.56,1.10851,0.93675,1.23736,0.62392,0.49895,0.56278,0.3968,1.11886,0.93134,1.20314,0.004654,0.004654,0.004654
56,5884.44,1.10106,0.93373,1.22855,0.60518,0.50712,0.56702,0.40192,1.0959,0.92795,1.18832,0.004555,0.004555,0.004555
57,6021.18,1.09351,0.91753,1.22361,0.60751,0.50769,0.56135,0.39853,1.10407,0.92324,1.19365,0.004456,0.004456,0.004456
58,6120.68,1.08957,0.9167,1.2253,0.62463,0.51281,0.56726,0.40342,1.09501,0.91111,1.19141,0.004357,0.004357,0.004357
59,6226.56,1.08534,0.90745,1.22021,0.61819,0.50602,0.5602,0.3964,1.1027,0.92282,1.19737,0.004258,0.004258,0.004258
60,6325.93,1.08995,0.90352,1.22453,0.6112,0.51428,0.5675,0.40219,1.0994,0.91107,1.19297,0.004159,0.004159,0.004159
